,event_time,symbol,base_volume,close_price,first_trade_id,high_price,ignore,interval,is_closed,kline_close_time,kline_start_time,last_trade_id,low_price,number_of_trades,open_price,quote,taker_by_base_asset_volume,taker_by_quote_asset_volume
0,1634124723959,FTMUSDT,736.00000000,2.02180000,False,2.02180000,0,1m,False,1634124779999,1634124720000,False,2.02170000,3,2.02170000,1487.99120000,736.00000000,1487.99120000
0,1634124784140,FTMUSDT,579.00000000,2.02080000,False,2.02080000,0,1m,False,1634124839999,1634124780000,False,2.02040000,5,2.02060000,1169.92480000,55.00000000,111.14400000
0,1634124842390,FTMUSDT,2767.00000000,2.02190000,False,2.02210000,0,1m,False,1634124899999,1634124840000,False,2.02190000,6,2.02210000,5594.95750000,1081.00000000,2185.89010000
0,1634124844759,FTMUSDT,6049.00000000,2.02200000,False,2.02210000,0,1m,False,1634124899999,1634124840000,False,2.02190000,9,2.02210000,12231.16150000,3883.00000000,7851.53410000
0,1634124902564,FTMUSDT,527.00000000,2.01980000,False,2.01980000,0,1m,False,1634124959999,1634124900000,False,2.01940000,4,2.01940000,1064.23940000,527.00000000,1064.23940000
0,1634124963072,FTMUSDT,14548.00000000,2.02390000,False,2.02420000,0,1m,False,1634125019999,1634124960000,False,2.02260000,36,2.02260000,29436.61070000,12590.00000000,25474.57210000
0,1634125022988,FTMUSDT,185.00000000,2.02770000,False,2.02770000,0,1m,False,1634125079999,1634125020000,False,2.02760000,2,2.02760000,375.11450000,185.00000000,375.11450000
0,1634125025083,FTMUSDT,677.00000000,2.02780000,False,2.02780000,0,1m,False,1634125079999,1634125020000,False,2.02750000,6,2.02760000,1372.79060000,672.00000000,1362.65310000
0,1634125027210,FTMUSDT,985.00000000,2.02750000,False,2.02780000,0,1m,False,1634125079999,1634125020000,False,2.02750000,9,2.02760000,1997.31830000,816.00000000,1654.65630000
0,1634125029342,FTMUSDT,2043.00000000,2.02770000,False,2.02780000,0,1m,False,1634125079999,1634125020000,False,2.02750000,13,2.02760000,4142.61330000,1816.00000000,3682.35630000
